date,mean_med_diesel_crack_input1_trade_month_lag2,mean_nwe_hsfo_crack_trade_month_lag1,mean_nwe_lsfo_crack_trade_month,mean_nwe_ulsfo_crack_trade_month lag3,mean_sing_gasoline_vs_vlsfo_trade_month,mean_sing_vlsfo_crack_trade_month_lag3,new_sweet_sr_margin,target,totaltar
2020-04-01,-56.18,-11.43,-3.07,28.58,-16.09,26.91,0.47,137.65,0.00
2020-05-01,-42.36,-9.17,3.89,22.64,-8.75,20.36,0.57,113.53,0.00
2020-06-01,-30.21,-8.58,-3.44,13.43,-4.28,11.32,6.61,43.31,0.00
2020-07-01,-28.86,-6.86,-2.71,10.74,-3.20,8.53,-1.55,79.77,0.00
2020-08-01,-38.80,-5.86,-2.63,4.58,-5.35,6.26,-2.70,48.27,0.00
2020-09-01,-41.76,-5.62,-2.08,7.69,-3.26,6.15,-2.10,98.01,0.00
2020-10-01,-43.99,-5.10,0.16,8.09,-4.31,5.80,-3.34,49.77,0.00
2020-11-01,-42.94,-5.43,1.80,7.86,-7.40,6.99,-2.53,35.48,0.00
2020-12-01,-41.55,-3.39,0.94,6.68,-7.65,6.22,0.00,63.98,0.00
2021-01-01,-41.18,-6.03,0.63,8.67,-7.67,8.22,-0.05,109.76,0.00
2021-02-01,48.56,-6.14,2.60,9.79,-9.41,9.53,-0.55,102.98,0.00
2021-03-01,-53.08,-6.99,1.86,10.70,-6.70,9.55,-0.10,123.83,0.00
2021-04-01,58.56,-8.17,0.13,13.14,-3.81,11.13,-0.26,95.58,0.00
2021-05-01,-65.84,-8.77,1.79,14.62,-2.95,13.73,-1.32,127.21,0.00
2021-06-01,-63.63,-9.86,-3.45,14.46,-2.95,12.37,-1.42,120.18,0.00
2021-07-01,-66.81,-11.36,-2.46,12.82,-1.53,10.41,-1.98,88.43,0.00
2021-08-01,-70.76,-11.69,1.61,13.26,-0.42,9.45,-2.22,97.76,0.00
2021-09-01,-73.55,-10.65,-0.23,13.93,-2.96,8.69,-2.59,126.47,0.00
2021-10-01,-70.44,-10.19,0.07,14.03,-0.69,9.41,-1.71,116.13,28.50
